state,county,sex,age,race,hispanic,educ,empstat,hrs_wk,income,deg_bachelors,deg_masters,deg_profession,deg_phd,i_female,i_black,i_white,i_hispanic,i_workforce,i_employed
42,42000,Female,66,Other,Hispanic,10,Not in labor force,0,5300,0,0,0,0,1,0,0,1,0,0
34,34031,Male,46,White,Non-Hispanic,12,Employed,40,80000,0,0,0,0,0,0,1,0,1,1
21,21111,Female,71,White,Non-Hispanic,12,Not in labor force,0,27600,0,0,0,0,1,0,1,0,0,0
17,17000,Female,64,White,Non-Hispanic,13,Employed,60,35000,0,0,0,0,1,0,1,0,1,1
06,06073,Female,56,Other,Non-Hispanic,12,Employed,40,60000,0,0,0,0,1,0,0,0,1,1
19,19000,Male,23,Black,Non-Hispanic,9,Not in labor force,40,6000,0,0,0,0,0,1,0,0,0,0
40,40000,Female,39,Other,Non-Hispanic,13,Employed,20,35000,0,0,0,0,1,0,0,0,1,1
39,39000,Male,70,White,Non-Hispanic,13,Not in labor force,0,23900,0,0,0,0,0,0,1,0,0,0
06,06037,Female,59,White,Non-Hispanic,17,Employed,40,78000,1,1,0,0,1,0,1,0,1,1
48,48000,Male,88,White,Non-Hispanic,17,Not in labor force,0,56200,1,1,0,0,0,0,1,0,0,0
06,06081,Male,27,Other,Hispanic,16,Employed,43,38000,1,0,0,0,0,0,0,1,1,1
45,45083,Male,41,White,Non-Hispanic,12,Employed,40,43000,0,0,0,0,0,0,1,0,1,1
32,32003,Female,32,Other,Non-Hispanic,16,Unemployed,0,0,1,0,0,0,1,0,0,0,1,0
53,53000,Male,25,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
05,05000,Female,72,White,Non-Hispanic,13,Not in labor force,0,13200,0,0,0,0,1,0,1,0,0,0
34,34035,Female,64,White,Non-Hispanic,17,Employed,33,38000,1,0,1,0,1,0,1,0,1,1
34,34007,Male,73,White,Non-Hispanic,12,Not in labor force,0,23300,0,0,0,0,0,0,1,0,0,0
45,45000,Female,38,White,Non-Hispanic,12,Employed,40,30000,0,0,0,0,1,0,1,0,1,1
04,04013,Female,18,White,Non-Hispanic,11,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
41,41067,Male,22,White,Non-Hispanic,16,Unemployed,15,4000,1,0,0,0,0,0,1,0,1,0
12,12061,Male,87,White,Non-Hispanic,13,Not in labor force,0,58100,0,0,0,0,0,0,1,0,0,0
37,37000,Male,53,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
48,48085,Female,49,Black,Non-Hispanic,14,Employed,8,54000,0,0,0,0,1,1,0,0,1,1
06,06037,Female,75,White,Non-Hispanic,13,Not in labor force,0,51000,0,0,0,0,1,0,1,0,0,0
17,17031,Male,54,Black,Non-Hispanic,16,Not in labor force,0,31500,1,0,0,0,0,1,0,0,0,0
36,36081,Female,67,Other,Hispanic,13,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
42,42000,Female,70,White,Non-Hispanic,12,Not in labor force,0,9200,0,0,0,0,1,0,1,0,0,0
47,47000,Female,68,White,Non-Hispanic,8,Not in labor force,0,43000,0,0,0,0,1,0,1,0,0,0
36,36059,Female,66,White,Non-Hispanic,16,Employed,40,110000,1,0,0,0,1,0,1,0,1,1
41,41051,Female,81,White,Non-Hispanic,16,Not in labor force,0,15000,1,0,0,0,1,0,1,0,0,0
21,21067,Female,76,White,Non-Hispanic,12,Not in labor force,0,39300,0,0,0,0,1,0,1,0,0,0
36,36075,Female,20,White,Non-Hispanic,12,Employed,45,12800,0,0,0,0,1,0,1,0,1,1
25,25017,Female,54,White,Non-Hispanic,12,Not in labor force,0,116800,0,0,0,0,1,0,1,0,0,0
22,22000,Female,63,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
21,21067,Male,19,White,Non-Hispanic,13,Unemployed,0,0,0,0,0,0,0,0,1,0,1,0
13,13121,Female,59,White,Non-Hispanic,17,Employed,45,155000,1,1,0,0,1,0,1,0,1,1
01,01097,Female,60,Other,Hispanic,16,Employed,40,22000,1,0,0,0,1,0,0,1,1,1
42,42091,Male,18,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
04,04015,Male,45,Other,Hispanic,12,Employed,50,44000,0,0,0,0,0,0,0,1,1,1
08,08069,Male,69,White,Non-Hispanic,12,Not in labor force,0,25200,0,0,0,0,0,0,1,0,0,0
20,20000,Male,55,White,Non-Hispanic,16,Employed,45,130600,1,0,0,0,0,0,1,0,1,1
48,48479,Male,68,White,Hispanic,13,Not in labor force,0,91900,0,0,0,0,0,0,1,1,0,0
12,12000,Male,24,White,Non-Hispanic,14,Employed,40,22000,0,0,0,0,0,0,1,0,1,1
39,39000,Female,29,White,Hispanic,11,Employed,35,80000,0,0,0,0,1,0,1,1,1,1
48,48201,Male,44,White,Hispanic,12,Employed,40,62000,0,0,0,0,0,0,1,1,1,1
12,12000,Female,63,Black,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,1,0,0,0,0
51,51700,Female,18,Black,Non-Hispanic,12,Employed,20,1100,0,0,0,0,1,1,0,0,1,1
06,06067,Male,85,White,Non-Hispanic,12,Not in labor force,0,63000,0,0,0,0,0,0,1,0,0,0
36,36013,Male,33,White,Non-Hispanic,14,Employed,48,40000,0,0,0,0,0,0,1,0,1,1
18,18039,Female,54,White,Non-Hispanic,8,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
34,34029,Female,41,White,Non-Hispanic,14,Employed,40,76000,0,0,0,0,1,0,1,0,1,1
42,42000,Male,70,White,Non-Hispanic,12,Unemployed,84,67400,0,0,0,0,0,0,1,0,1,0
48,48113,Female,52,Black,Non-Hispanic,16,Employed,40,45000,1,0,0,0,1,1,0,0,1,1
53,53011,Female,66,White,Non-Hispanic,12,Employed,35,18000,0,0,0,0,1,0,1,0,1,1
36,36005,Female,55,Other,Hispanic,12,Employed,21,13700,0,0,0,0,1,0,0,1,1,1
26,26000,Female,36,White,Non-Hispanic,16,Employed,40,53000,1,0,0,0,1,0,1,0,1,1
36,36047,Male,25,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
04,04013,Female,33,White,Non-Hispanic,12,Employed,40,78000,0,0,0,0,1,0,1,0,1,1
12,12099,Female,62,White,Non-Hispanic,16,Not in labor force,0,0,1,0,0,0,1,0,1,0,0,0
23,23000,Female,61,White,Non-Hispanic,17,Employed,35,30000,1,1,0,0,1,0,1,0,1,1
45,45045,Male,28,White,Non-Hispanic,17,Employed,40,52000,1,0,0,1,0,0,1,0,1,1
54,54000,Female,54,Other,Hispanic,11,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
26,26077,Female,25,White,Hispanic,16,Employed,40,60000,1,0,0,0,1,0,1,1,1,1
39,39000,Male,30,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
28,28000,Female,83,White,Non-Hispanic,12,Not in labor force,0,12100,0,0,0,0,1,0,1,0,0,0
53,53033,Male,48,White,Non-Hispanic,16,Employed,40,8000,1,0,0,0,0,0,1,0,1,1
36,36089,Female,73,White,Non-Hispanic,12,Not in labor force,0,48400,0,0,0,0,1,0,1,0,0,0
55,55000,Female,39,White,Non-Hispanic,16,Employed,40,35000,1,0,0,0,1,0,1,0,1,1
36,36000,Male,65,White,Non-Hispanic,12,Employed,40,42000,0,0,0,0,0,0,1,0,1,1
53,53033,Female,19,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
25,25005,Female,62,White,Non-Hispanic,16,Employed,32,73000,1,0,0,0,1,0,1,0,1,1
27,27037,Male,59,White,Non-Hispanic,16,Not in labor force,0,0,1,0,0,0,0,0,1,0,0,0
55,55000,Male,66,White,Non-Hispanic,12,Employed,4,22900,0,0,0,0,0,0,1,0,1,1
34,34023,Female,87,White,Non-Hispanic,13,Not in labor force,0,21870,0,0,0,0,1,0,1,0,0,0
39,39000,Male,36,White,Non-Hispanic,12,Employed,40,95000,0,0,0,0,0,0,1,0,1,1
27,27000,Female,50,Other,Hispanic,13,Employed,55,15000,0,0,0,0,1,0,0,1,1,1
26,26081,Male,82,White,Non-Hispanic,12,Not in labor force,0,26300,0,0,0,0,0,0,1,0,0,0
12,12000,Male,42,White,Non-Hispanic,12,Employed,26,22000,0,0,0,0,0,0,1,0,1,1
06,06067,Male,46,White,Non-Hispanic,16,Employed,50,300000,1,0,0,0,0,0,1,0,1,1
13,13121,Female,61,White,Non-Hispanic,13,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
48,48000,Male,53,White,Non-Hispanic,16,Employed,60,173000,1,0,0,0,0,0,1,0,1,1
47,47000,Male,63,White,Non-Hispanic,17,Employed,37,79400,1,0,0,1,0,0,1,0,1,1
36,36081,Female,23,Other,Non-Hispanic,14,Employed,40,17000,0,0,0,0,1,0,0,0,1,1
39,39000,Male,52,White,Non-Hispanic,12,Employed,40,38500,0,0,0,0,0,0,1,0,1,1
19,19000,Female,40,White,Non-Hispanic,14,Employed,43,62000,0,0,0,0,1,0,1,0,1,1
32,32000,Female,45,White,Non-Hispanic,17,Employed,60,130420,1,1,0,0,1,0,1,0,1,1
26,26000,Male,39,White,Non-Hispanic,16,Employed,50,135000,1,0,0,0,0,0,1,0,1,1
36,36000,Female,32,White,Non-Hispanic,17,Employed,45,140000,1,1,0,0,1,0,1,0,1,1
38,38000,Female,67,White,Non-Hispanic,12,Not in labor force,0,13300,0,0,0,0,1,0,1,0,0,0
48,48113,Male,62,Other,Hispanic,16,Employed,40,45000,1,0,0,0,0,0,0,1,1,1
40,40017,Female,56,White,Non-Hispanic,12,Employed,40,30000,0,0,0,0,1,0,1,0,1,1
24,24017,Female,43,Other,Non-Hispanic,14,Not in labor force,0,0,0,0,0,0,1,0,0,0,0,0
13,13051,Female,92,White,Non-Hispanic,14,Not in labor force,0,40000,0,0,0,0,1,0,1,0,0,0
39,39093,Male,20,Other,Hispanic,12,Employed,40,27000,0,0,0,0,0,0,0,1,1,1
04,04013,Female,80,AIAN,Non-Hispanic,13,Not in labor force,0,108000,0,0,0,0,1,0,0,0,0,0
06,06085,Female,39,Other,Non-Hispanic,17,Employed,43,71960,1,1,0,0,1,0,0,0,1,1
26,26000,Male,60,White,Non-Hispanic,12,Employed,60,72500,0,0,0,0,0,0,1,0,1,1
12,12019,Female,66,White,Non-Hispanic,4,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
12,12021,Female,44,White,Non-Hispanic,17,Employed,40,72700,1,1,0,0,1,0,1,0,1,1
23,23000,Male,77,White,Non-Hispanic,12,Not in labor force,0,22800,0,0,0,0,0,0,1,0,0,0
11,11001,Female,19,White,Non-Hispanic,12,Not in labor force,5,2000,0,0,0,0,1,0,1,0,0,0
18,18097,Male,36,Black,Non-Hispanic,12,Employed,50,92000,0,0,0,0,0,1,0,0,1,1
27,27109,Male,35,White,Non-Hispanic,16,Employed,40,70000,1,0,0,0,0,0,1,0,1,1
25,25023,Male,68,Black,Non-Hispanic,12,Employed,40,79000,0,0,0,0,0,1,0,0,1,1
45,45063,Female,73,White,Non-Hispanic,12,Not in labor force,0,37800,0,0,0,0,1,0,1,0,0,0
21,21000,Male,42,White,Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,1,0,0
25,25009,Female,72,White,Non-Hispanic,16,Not in labor force,0,106400,1,0,0,0,1,0,1,0,0,0
20,20000,Female,69,White,Non-Hispanic,12,Not in labor force,0,6000,0,0,0,0,1,0,1,0,0,0
12,12099,Female,70,Black,Non-Hispanic,12,Employed,18,28100,0,0,0,0,1,1,0,0,1,1
12,12071,Female,59,White,Non-Hispanic,17,Employed,80,75000,1,0,1,0,1,0,1,0,1,1
45,45000,Male,65,White,Non-Hispanic,12,Not in labor force,0,18000,0,0,0,0,0,0,1,0,0,0
06,06013,Female,79,White,Non-Hispanic,12,Not in labor force,0,52000,0,0,0,0,1,0,1,0,0,0
36,36081,Male,62,Chinese,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,0,0,0,0
48,48141,Female,86,White,Non-Hispanic,16,Not in labor force,0,56000,1,0,0,0,1,0,1,0,0,0
28,28000,Female,19,White,Non-Hispanic,13,Employed,20,9000,0,0,0,0,1,0,1,0,1,1
06,06111,Male,42,Other,Non-Hispanic,17,Employed,40,170000,1,0,0,1,0,0,0,0,1,1
34,34007,Female,38,White,Non-Hispanic,17,Employed,40,119000,1,0,0,1,1,0,1,0,1,1
53,53033,Female,43,White,Non-Hispanic,17,Employed,40,83000,1,1,0,0,1,0,1,0,1,1
05,05000,Male,51,White,Non-Hispanic,12,Employed,40,52000,0,0,0,0,0,0,1,0,1,1
12,12099,Female,95,White,Non-Hispanic,16,Not in labor force,0,115800,1,0,0,0,1,0,1,0,0,0
12,12071,Male,45,Black,Non-Hispanic,14,Employed,40,40000,0,0,0,0,0,1,0,0,1,1
39,39000,Female,81,Other,Hispanic,12,Not in labor force,0,13000,0,0,0,0,1,0,0,1,0,0
17,17031,Male,76,Black,Non-Hispanic,12,Not in labor force,0,23500,0,0,0,0,0,1,0,0,0,0
54,54000,Female,81,White,Non-Hispanic,12,Not in labor force,0,20700,0,0,0,0,1,0,1,0,0,0
01,01000,Female,71,White,Non-Hispanic,12,Not in labor force,0,12000,0,0,0,0,1,0,1,0,0,0
12,12099,Female,36,White,Non-Hispanic,16,Not in labor force,0,0,1,0,0,0,1,0,1,0,0,0
13,13245,Female,67,White,Non-Hispanic,12,Employed,40,55800,0,0,0,0,1,0,1,0,1,1
04,04013,Male,28,Other,Non-Hispanic,13,Employed,20,17000,0,0,0,0,0,0,0,0,1,1
06,06037,Male,38,Other,Hispanic,9,Employed,50,30000,0,0,0,0,0,0,0,1,1,1
06,06059,Male,70,White,Non-Hispanic,17,Employed,50,270100,1,0,0,1,0,0,1,0,1,1
44,44000,Female,40,White,Non-Hispanic,12,Employed,32,27400,0,0,0,0,1,0,1,0,1,1
48,48157,Male,43,White,Non-Hispanic,16,Employed,50,200100,1,0,0,0,0,0,1,0,1,1
12,12105,Female,55,White,Non-Hispanic,13,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
06,06047,Female,61,Other,Non-Hispanic,14,Employed,37,32000,0,0,0,0,1,0,0,0,1,1
12,12000,Female,37,Black,Non-Hispanic,12,Employed,45,62000,0,0,0,0,1,1,0,0,1,1
51,51000,Male,25,White,Non-Hispanic,12,Employed,48,50050,0,0,0,0,0,0,1,0,1,1
25,25000,Male,53,White,Non-Hispanic,12,Employed,40,50000,0,0,0,0,0,0,1,0,1,1
48,48157,Male,62,Chinese,Non-Hispanic,17,Not in labor force,3,8300,1,0,0,1,0,0,0,0,0,0
37,37019,Female,64,White,Non-Hispanic,12,Employed,22,73500,0,0,0,0,1,0,1,0,1,1
06,06059,Female,64,White,Non-Hispanic,12,Employed,40,80000,0,0,0,0,1,0,1,0,1,1
10,10003,Female,65,White,Non-Hispanic,16,Not in labor force,0,40000,1,0,0,0,1,0,1,0,0,0
29,29183,Female,25,White,Non-Hispanic,12,Employed,40,40000,0,0,0,0,1,0,1,0,1,1
36,36047,Male,67,Other,Non-Hispanic,16,Not in labor force,0,13200,1,0,0,0,0,0,0,0,0,0
12,12103,Male,58,White,Non-Hispanic,12,Employed,40,44000,0,0,0,0,0,0,1,0,1,1
29,29000,Female,80,White,Non-Hispanic,12,Not in labor force,0,21000,0,0,0,0,1,0,1,0,0,0
45,45000,Female,45,Other,Non-Hispanic,12,Employed,40,13000,0,0,0,0,1,0,0,0,1,1
37,37000,Female,62,White,Non-Hispanic,12,Not in labor force,30,12800,0,0,0,0,1,0,1,0,0,0
31,31000,Female,62,Other,Non-Hispanic,16,Employed,40,36000,1,0,0,0,1,0,0,0,1,1
25,25005,Female,49,Other,Non-Hispanic,13,Employed,40,11200,0,0,0,0,1,0,0,0,1,1
17,17031,Female,57,White,Non-Hispanic,12,Not in labor force,0,60,0,0,0,0,1,0,1,0,0,0
48,48439,Female,62,White,Non-Hispanic,13,Employed,40,41600,0,0,0,0,1,0,1,0,1,1
12,12000,Male,69,White,Non-Hispanic,12,Not in labor force,0,64600,0,0,0,0,0,0,1,0,0,0
36,36000,Male,40,White,Non-Hispanic,14,Employed,30,7600,0,0,0,0,0,0,1,0,1,1
12,12071,Male,54,White,Non-Hispanic,12,Employed,39,24000,0,0,0,0,0,0,1,0,1,1
21,21000,Female,88,White,Non-Hispanic,12,Not in labor force,0,21600,0,0,0,0,1,0,1,0,0,0
08,08000,Female,40,Other,Non-Hispanic,13,Employed,40,47000,0,0,0,0,1,0,0,0,1,1
06,06099,Male,59,White,Non-Hispanic,16,Employed,40,150000,1,0,0,0,0,0,1,0,1,1
25,25000,Male,53,White,Non-Hispanic,12,Employed,40,83000,0,0,0,0,0,0,1,0,1,1
35,35000,Male,47,Other,Hispanic,12,Employed,40,46000,0,0,0,0,0,0,0,1,1,1
34,34023,Male,59,Black,Non-Hispanic,12,Employed,40,72000,0,0,0,0,0,1,0,0,1,1
26,26099,Male,71,White,Non-Hispanic,13,Not in labor force,0,2600,0,0,0,0,0,0,1,0,0,0
06,06073,Male,27,Other,Non-Hispanic,12,Employed,50,98000,0,0,0,0,0,0,0,0,1,1
27,27000,Male,40,Black,Non-Hispanic,12,Employed,37,48000,0,0,0,0,0,1,0,0,1,1
06,06007,Female,76,Other,Hispanic,4,Not in labor force,0,4200,0,0,0,0,1,0,0,1,0,0
37,37183,Female,85,White,Non-Hispanic,13,Not in labor force,0,12000,0,0,0,0,1,0,1,0,0,0
55,55087,Male,72,White,Non-Hispanic,12,Not in labor force,15,53000,0,0,0,0,0,0,1,0,0,0
37,37183,Female,65,White,Non-Hispanic,17,Not in labor force,0,42000,1,1,0,0,1,0,1,0,0,0
39,39049,Male,63,Black,Non-Hispanic,13,Not in labor force,0,67900,0,0,0,0,0,1,0,0,0,0
55,55079,Female,37,White,Non-Hispanic,16,Employed,45,135000,1,0,0,0,1,0,1,0,1,1
44,44000,Female,52,White,Non-Hispanic,16,Employed,35,63000,1,0,0,0,1,0,1,0,1,1
42,42017,Female,62,White,Non-Hispanic,16,Employed,30,130500,1,0,0,0,1,0,1,0,1,1
53,53000,Female,75,White,Non-Hispanic,16,Not in labor force,0,73700,1,0,0,0,1,0,1,0,0,0
24,24031,Female,62,White,Non-Hispanic,17,Not in labor force,45,123300,1,0,1,0,1,0,1,0,0,0
27,27000,Female,27,White,Non-Hispanic,16,Employed,40,55000,1,0,0,0,1,0,1,0,1,1
12,12021,Male,67,White,Non-Hispanic,17,Not in labor force,0,114600,1,1,0,0,0,0,1,0,0,0
05,05000,Male,76,White,Non-Hispanic,9,Not in labor force,0,42300,0,0,0,0,0,0,1,0,0,0
36,36000,Female,79,White,Non-Hispanic,12,Not in labor force,0,19900,0,0,0,0,1,0,1,0,0,0
18,18000,Female,62,White,Non-Hispanic,13,Employed,20,33200,0,0,0,0,1,0,1,0,1,1
20,20091,Male,66,White,Non-Hispanic,17,Not in labor force,0,64500,1,1,0,0,0,0,1,0,0,0
48,48167,Male,56,White,Non-Hispanic,14,Employed,40,90000,0,0,0,0,0,0,1,0,1,1
08,08000,Female,54,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,1,0,0,0
41,41051,Female,59,White,Non-Hispanic,16,Employed,20,14000,1,0,0,0,1,0,1,0,1,1
31,31000,Male,47,Other,Hispanic,8,Employed,48,5000,0,0,0,0,0,0,0,1,1,1
53,53011,Female,36,Other,Hispanic,12,Employed,16,5000,0,0,0,0,1,0,0,1,1,1
36,36029,Male,30,White,Non-Hispanic,12,Employed,30,22900,0,0,0,0,0,0,1,0,1,1
42,42000,Female,47,White,Non-Hispanic,12,Employed,40,50000,0,0,0,0,1,0,1,0,1,1
17,17031,Female,42,White,Non-Hispanic,17,Employed,14,103000,1,1,0,0,1,0,1,0,1,1
09,09170,Male,18,White,Non-Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,1,0,0,0
37,37000,Male,20,Black,Non-Hispanic,12,Not in labor force,80,14450,0,0,0,0,0,1,0,0,0,0
42,42045,Female,38,Black,Non-Hispanic,12,Not in labor force,0,23900,0,0,0,0,1,1,0,0,0,0
53,53033,Male,53,White,Non-Hispanic,16,Employed,50,155000,1,0,0,0,0,0,1,0,1,1
12,12095,Male,47,Other,Hispanic,16,Employed,30,55000,1,0,0,0,0,0,0,1,1,1
49,49035,Female,35,White,Non-Hispanic,14,Employed,20,20400,0,0,0,0,1,0,1,0,1,1
50,50000,Male,66,White,Non-Hispanic,12,Employed,40,50000,0,0,0,0,0,0,1,0,1,1
06,06059,Male,57,Other,Hispanic,12,Employed,40,25000,0,0,0,0,0,0,0,1,1,1
24,24013,Female,18,White,Non-Hispanic,12,Employed,40,6400,0,0,0,0,1,0,1,0,1,1
06,06037,Male,29,Other,Hispanic,12,Not in labor force,0,0,0,0,0,0,0,0,0,1,0,0
09,09190,Male,82,White,Non-Hispanic,17,Employed,40,92500,1,1,0,0,0,0,1,0,1,1
18,18000,Female,48,White,Non-Hispanic,14,Employed,40,54000,0,0,0,0,1,0,1,0,1,1
13,13051,Female,76,Chinese,Non-Hispanic,12,Not in labor force,0,12000,0,0,0,0,1,0,0,0,0,0
41,41039,Female,39,White,Non-Hispanic,16,Employed,30,20000,1,0,0,0,1,0,1,0,1,1
44,44007,Female,73,White,Non-Hispanic,16,Not in labor force,0,75400,1,0,0,0,1,0,1,0,0,0
04,04013,Male,61,White,Non-Hispanic,16,Employed,50,119000,1,0,0,0,0,0,1,0,1,1
06,06037,Female,52,Other,Hispanic,13,Employed,40,42000,0,0,0,0,1,0,0,1,1,1
12,12000,Male,28,White,Hispanic,16,Employed,40,50000,1,0,0,0,0,0,1,1,1,1
45,45019,Female,77,White,Non-Hispanic,16,Not in labor force,40,146000,1,0,0,0,1,0,1,0,0,0
